Elements,lattice_constants,electronegativity,melting_temp,atomic_radii,valence electron
Al,4.0495,1.613,933.47,1.432,3
Co,2.5071,1.84,1768,1.251,9
Cr,2.91,1.65,2180,1.249,6
Cu,3.6149,1.85,1357.77,1.278,11
Fe,2.8665,1.8,1811,1.241,8
Ni,3.524,1.88,1728,1.246,10
V,3.03,1.53,2183,1.316,5
Mo,3.147,1.47,2896,1.363,6
Zr,3.232,1.32,2128,1.603,4
Mn,8.9125,1.75,1519,1.35,7
Sn,5.8318,1.824,505.08,1.62,4
Ti,2.9508,1.38,1941,1.462,4
W,3.1652,1.47,3695,1.367,6
Ta,3.3013,1.34,3290,1.43,5
Nb,3.3004,1.41,2750,1.429,5
Hf,3.1964,1.16,2506,1.578,4
