Alloy,Ta,Nb,Hf,Zr,Ti,Mo,W,Al,V,Cr,Co
TaNbHfZrTi,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
TiTa,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
MoZr,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0
MoW,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0
WTa,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0
WZr,0.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0
MoTi,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0
TaZr,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TiZr,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
WTi,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0
MoTa,50.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0
MoWZr,0.0,0.0,0.0,33.333,0.0,33.333,33.333,0.0,0.0,0.0,0.0
MoTiTa,33.333,0.0,0.0,0.0,33.333,33.333,0.0,0.0,0.0,0.0,0.0
WTaZr,33.333,0.0,0.0,33.333,0.0,0.0,33.333,0.0,0.0,0.0,0.0
TiTaZr,33.333,0.0,0.0,33.333,33.333,0.0,0.0,0.0,0.0,0.0,0.0
MoTiZr,0.0,0.0,0.0,33.333,33.333,33.333,0.0,0.0,0.0,0.0,0.0
MoWTa,33.333,0.0,0.0,0.0,0.0,33.333,33.333,0.0,0.0,0.0,0.0
MoWTi,0.0,0.0,0.0,0.0,33.333,33.333,33.333,0.0,0.0,0.0,0.0
WTiTa,33.333,0.0,0.0,0.0,33.333,0.0,33.333,0.0,0.0,0.0,0.0
WTiZr,0.0,0.0,0.0,33.333,33.333,0.0,33.333,0.0,0.0,0.0,0.0
MoTaZr,33.333,0.0,0.0,33.333,0.0,33.333,0.0,0.0,0.0,0.0,0.0
MoWTaZr,25.0,0.0,0.0,25.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0
MoWTiZr,0.0,0.0,0.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0
MoWTiTa,25.0,0.0,0.0,0.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0
MoTaTiZr,25.0,0.0,0.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0
WTiTaZr,25.0,0.0,0.0,25.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0
MoTaTiWZr,20.0,0.0,0.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0
Al0.25MoNbTiV,0.0,23.529,0.0,0.0,23.529,23.529,0.0,5.882,23.529,0.0,0.0
Al0.25NbTaTiV,23.529,23.529,0.0,0.0,23.529,0.0,0.0,5.882,23.529,0.0,0.0
Al0.2MoTaTiV,23.81,0.0,0.0,0.0,23.81,23.81,0.0,4.762,23.81,0.0,0.0
Al0.3HfNbTaTiZr,18.868,18.868,18.868,18.868,18.868,0.0,0.0,5.66,0.0,0.0,0.0
Al0.3NbTa0.8Ti1.4V0.2Zr1.3,16.0,20.0,0.0,26.0,28.0,0.0,0.0,6.0,4.0,0.0,0.0
Al0.4Hf0.6NbTaTiZr,20.0,20.0,12.0,20.0,20.0,0.0,0.0,8.0,0.0,0.0,0.0
Al0.5CrNbTi2V0.5,0.0,20.0,0.0,0.0,40.0,0.0,0.0,10.0,10.0,20.0,0.0
Al0.5HfNbTaTiZr,18.182,18.182,18.182,18.182,18.182,0.0,0.0,9.091,0.0,0.0,0.0
Al0.5MoNbTiV,0.0,22.222,0.0,0.0,22.222,22.222,0.0,11.111,22.222,0.0,0.0
Al0.5NbTa0.8Ti1.5V0.2Zr,16.0,20.0,0.0,20.0,30.0,0.0,0.0,10.0,4.0,0.0,0.0
Al0.5NbTaTiV,22.222,22.222,0.0,0.0,22.222,0.0,0.0,11.111,22.222,0.0,0.0
Al0.6MoTaTiV,21.739,0.0,0.0,0.0,21.739,21.739,0.0,13.043,21.739,0.0,0.0
Al0.75HfNbTaTiZr,17.391,17.391,17.391,17.391,17.391,0.0,0.0,13.043,0.0,0.0,0.0
Al0.75MoNbTiV,0.0,21.053,0.0,0.0,21.053,21.053,0.0,15.789,21.053,0.0,0.0
Al1.5MoNbTiV,0.0,18.182,0.0,0.0,18.182,18.182,0.0,27.273,18.182,0.0,0.0
AlCr0.5NbTiV,0.0,22.222,0.0,0.0,22.222,0.0,0.0,22.222,22.222,11.111,0.0
AlMoNbTiV,0.0,20.0,0.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,0.0
AlMoTaTiV,20.0,0.0,0.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,0.0
AlNb1.5Ta0.5Ti1.5Zr0.5,10.0,30.0,0.0,10.0,30.0,0.0,0.0,20.0,0.0,0.0,0.0
AlNbTaTiV,20.0,20.0,0.0,0.0,20.0,0.0,0.0,20.0,20.0,0.0,0.0
AlNbTiV,0.0,25.0,0.0,0.0,25.0,0.0,0.0,25.0,25.0,0.0,0.0
CoCrMoNbTi0.4,0.0,22.727,0.0,0.0,9.091,22.727,0.0,0.0,0.0,22.727,22.727
Hf0.4Nb1.54Ta1.54Ti0.89Zr0.64,30.739,30.739,7.984,12.774,17.764,0.0,0.0,0.0,0.0,0.0,0.0
Hf0.5Mo0.5NbTiZr,0.0,25.0,12.5,25.0,25.0,12.5,0.0,0.0,0.0,0.0,0.0
Hf0.5Nb0.5Ta0.5Ti1.5Zr,12.5,12.5,12.5,25.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0
Hf0.75NbTa0.5Ti1.5Zr1.25,10.0,20.0,15.0,25.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
HfMo0.25NbTaTiZr,19.048,19.048,19.048,19.048,19.048,4.762,0.0,0.0,0.0,0.0,0.0
HfMo0.5NbTaTiZr,18.182,18.182,18.182,18.182,18.182,9.091,0.0,0.0,0.0,0.0,0.0
HfMo0.5NbTiV0.5,0.0,25.0,25.0,0.0,25.0,12.5,0.0,0.0,12.5,0.0,0.0
HfMoNbTaTiZr,16.667,16.667,16.667,16.667,16.667,16.667,0.0,0.0,0.0,0.0,0.0
HfMoNbTiZr,0.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0
HfMoTaTiZr,20.0,0.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0
HfNb0.18Ta0.18Ti1.27Zr,4.959,4.959,27.548,27.548,34.986,0.0,0.0,0.0,0.0,0.0,0.0
HfNbTaTiZr,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
HfNbTaZr,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HfNbTiVZr,0.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0
HfNbTiZr,0.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
HfTaTiZr,25.0,0.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
Mo0.1NbTiV0.3Zr,0.0,29.412,0.0,29.412,29.412,2.941,0.0,0.0,8.824,0.0,0.0
Mo0.3NbTiV0.3Zr,0.0,27.778,0.0,27.778,27.778,8.333,0.0,0.0,8.333,0.0,0.0
Mo0.3NbTiVZr,0.0,23.256,0.0,23.256,23.256,6.977,0.0,0.0,23.256,0.0,0.0
Mo0.5NbTiV0.3Zr,0.0,26.316,0.0,26.316,26.316,13.158,0.0,0.0,7.895,0.0,0.0
Mo0.5NbTiVZr,0.0,22.222,0.0,22.222,22.222,11.111,0.0,0.0,22.222,0.0,0.0
Mo0.7NbTiV0.3Zr,0.0,25.0,0.0,25.0,25.0,17.5,0.0,0.0,7.5,0.0,0.0
Mo0.7NbTiVZr,0.0,21.277,0.0,21.277,21.277,14.894,0.0,0.0,21.277,0.0,0.0
Mo1.3NbTiV0.3Zr,0.0,21.739,0.0,21.739,21.739,28.261,0.0,0.0,6.522,0.0,0.0
Mo1.3NbTiVZr,0.0,18.868,0.0,18.868,18.868,24.528,0.0,0.0,18.868,0.0,0.0
Mo1.5NbTiV0.3Zr,0.0,20.833,0.0,20.833,20.833,31.25,0.0,0.0,6.25,0.0,0.0
MoNbTaTi0.25W,23.529,23.529,0.0,0.0,5.882,23.529,23.529,0.0,0.0,0.0,0.0
MoNbTaTi0.5W,22.222,22.222,0.0,0.0,11.111,22.222,22.222,0.0,0.0,0.0,0.0
MoNbTaTi0.75W,21.053,21.053,0.0,0.0,15.789,21.053,21.053,0.0,0.0,0.0,0.0
MoNbTaTiV,20.0,20.0,0.0,0.0,20.0,20.0,0.0,0.0,20.0,0.0,0.0
MoNbTaTiVW,16.667,16.667,0.0,0.0,16.667,16.667,16.667,0.0,16.667,0.0,0.0
MoNbTaTiW,20.0,20.0,0.0,0.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0
MoNbTaV,25.0,25.0,0.0,0.0,0.0,25.0,0.0,0.0,25.0,0.0,0.0
MoNbTaVW,20.0,20.0,0.0,0.0,0.0,20.0,20.0,0.0,20.0,0.0,0.0
MoNbTaW,25.0,25.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0
MoNbTiV,0.0,25.0,0.0,0.0,25.0,25.0,0.0,0.0,25.0,0.0,0.0
MoNbTiV0.25Zr,0.0,23.529,0.0,23.529,23.529,23.529,0.0,0.0,5.882,0.0,0.0
MoNbTiV0.3Zr,0.0,23.256,0.0,23.256,23.256,23.256,0.0,0.0,6.977,0.0,0.0
MoNbTiV0.5Zr,0.0,22.222,0.0,22.222,22.222,22.222,0.0,0.0,11.111,0.0,0.0
MoNbTiV0.75Zr,0.0,21.053,0.0,21.053,21.053,21.053,0.0,0.0,15.789,0.0,0.0
MoNbTiVZr,0.0,20.0,0.0,20.0,20.0,20.0,0.0,0.0,20.0,0.0,0.0
MoNbTiZr,0.0,25.0,0.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0
MoTaTiV,25.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,25.0,0.0,0.0
NbTaTiV,25.0,25.0,0.0,0.0,25.0,0.0,0.0,0.0,25.0,0.0,0.0
NbTaTiVW,20.0,20.0,0.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,0.0
NbTaVW,25.0,25.0,0.0,0.0,0.0,0.0,25.0,0.0,25.0,0.0,0.0
NbTiV0.3Zr,0.0,30.303,0.0,30.303,30.303,0.0,0.0,0.0,9.091,0.0,0.0
